Name,Rating
Star Wars I - The Phantom Menace, 5
Star Wars II - Attack of the Clones, 4
Star Wars III - Revenge of the Sith, 6
Star Wars IV - A New Hope, 6
Star Wars V - The Empire Strikes Back, 6
Star Wars VI - Return of the Jedi, 6
Star Wars VII - The Force Awakens, 5
Star Wars VIII - The Last Jedi, 3
Star Wars IX - Rise of Skywalker, 5
Rogue One - A Star Wars Story, 5
Han Solo - A Star Wars Story, 4
Iron Man 1, 5
Iron Man 2, 4
Iron Man 3, 4
Captain America: The First Avenger, 4
Captain America: The Winter Soldier, 5
Captain America: Civil War, 5
Thor, 4
Thor: The Dark World, 2
Thor: Ragnarok, 6
Guardian of the Galaxy, 5
Guardian of the Galaxy Vol 2, 4
Spiderman: Homecoming, 4
Doctor Strange, 4
Black Panther, 4
Avengers: Assemble, 6
Avengers: Age of Ultron, 4
Avengers: Infinity War, 6
Avengers: EndGame, 5
The Prestige, 5
Moneyball, 4
Uncut Gems, 4
Coach Carter, 5
Blockers, 4
Harry Potter and the Philosophers Stone, 4
Harry Potter and the Chambers of Secrets, 4
Harry Potter and Prisoner of Azkaban, 4
Harry Potter and Goblet of Fire, 5
Harry Potter and Order of the Phoenix, 4
Harry Potter and the Half Blood Prince, 3
Harry Potter and the Deathly Hallows Part 1, 3
Harry Potter and the Deathly Hallows Part 2, 4
Fantastic Beasts and Where to find them, 3
Lord of the Rings: The Fellowship of the Ring, 5
Lord of the Rings: The Two Towers, 5
Lord of the Rings: The Return of the King, 5
The Hobbit: An Unexpected Journey, 4
The Hobbit: The Desolation of Smaug, 4
The Hobbit: Battle of Five Armies, 4
Toy Story, 5
Toy Story 2, 5
Toy Story 3, 4
Fight Club, 5
Inception, 5
Shutter Island, 5
Indiana Jones: Raiders of the Lost Arc, 5
Indiana Jones: Temple of Doom, 5
Indiana Jones: The Last Crusade, 5
Indiana Jones: And the Kingdom of the Crystal Skull, 3
Monsters Inc., 5
Monsters University, 4
Ice age, 5
Up, 3
Finding Nemo, 4
Finding Dory, 3
Bruce Almighty, 4
Even Almighty, 3
The Simpsons Movie, 4
300, 5
300: Rise of an Empire, 2
Spiderman, 4
Spiderman 2, 4
Spiderman 3, 4
Spiderman into the Spiderverse, 5
Rat Race, 5
Four Lions, 5
The Incredibles, 5
Cars, 4
Superbad, 5
Pineapple Express, 5
Jurassic Park 1, 4
Jurassic Park 2, 4
Jurassic Park 3, 4
Jurassic World 1, 4
Jurassic World 2, 4
The Inbetweeners Movie, 5
The Inbetweeners Movie 2, 5
Kick Ass, 4
I am Legend, 4
Holes, 4
The Fast and the Furious, 4
2Fast2Furious, 4
Fast and Furious: Tokyo Drift, 4
Fast and Furious, 4
Fast 5, 4
Fast & Furious 6, 3
The Fate of the Furious, 3
Rush Hour, 4
Rush Hour 2, 4
Rush Hour 3, 4
White Chicks, 4
Wedding Crashers, 5
Home Alone, 5
Home Alone 2, 4
Home Alone 3, 3
21 Jump Street, 5
22 Jump Street, 5
Bad Neighbours, 4
Bad Neighbours 2, 5
The Amazing Spiderman, 4
The Amazing Spiderman 2, 3
Yes Man, 2
Man of Steel, 2
Batman vs Superman, 2
Justice League, 2
Wonderwoman, 4
Oceans 11, 5
Oceans 12, 4
Oceans 13, 5
Harold and Kumar get the Munchies, 5
Harold and Kumar go to Guantanamo Bay, 5
A Very Harold and Kumar Christmas, 3
Reservoir Dogs, 5
Pulp Fiction, 5
Kill Bill: Volume 1, 5
Kill Bill: Volume 2, 5
Inglorious Basterds, 5
Django Unchained, 5
The Hateful 8, 5
Once Upon a Time in Hollywood, 5
The Wolf Of Wallstreet, 5
Pain and Gain, 4
Jumanji (1995), 4
Jumanji: Welcome to the Jungle, 4
Jumanji: The Next Level, 2
Austin Powers: International Man of Mystery, 4
Austin Powers: The Spy Who Shagged Me, 4
Austin Powers in Goldmember, 4
Transporter, 5
Transporter 2, 4
Transporter 3, 2
The Mechanic, 4
Life of Pi, 2
Les Mis, 2
A Million Ways to Die in the West, 3
Batman Begins, 5
Batman The Dark Night, 5
Batman The Dark Night Rises, 5
A Quiet Place, 5
Birdbox, 5
The Italian Job (1969), 4
The Italian Job (2003), 5
Batman and Robin, 4
Shawshank Redemption, 4
The Big Short, 5
The Matrix, 5
The Matrix Reloaded, 4
The Matrix Revolution, 4
Role Models, 4
Daddy Day Care, 3
Happy Gilmore, 3
Just go with it, 5
What happens in Vegas, 4
Mighty Morphing Power Rangers, 4
The Terminator, 4
The Terminator 2, 5
The Terminator 3, 4
Little Man, 3
The Gentleman, 5
Knives Out, 5
Night at the Museum, 4
Night at the Museum 2, 4
Night at the Roxbury, 4
Anchorman, 4
Anchorman 2, 4
Blades of Glory, 4
SWAT, 4
Lethal Weapon, 5
Lethal Weapon 2, 4
Lethal Weapon 3, 4
Lethal Weapon 4, 5
Die Hard, 5
Die Hard 4.0, 4
The Day After Tomorrow, 4
Spenser Confidential, 4
Smoking Aces, 4
Horrible Bosses, 4
Horrible Bosses 2, 5
Mean Girls, 4
Napoleon Dynamite, 4
The Whole 9 Yards, 4
The Longest Yard, 4
Sully, 4
Goodfellas, 5
Kingsman, 4
Kingsman 2, 4
Paranormal Activity, 4
The Conjuring, 4
Aquaman, 4
Logan, 5
X-men Origins: Wolverine, 4
The Wolverine, 4
X-men, 4
X-men 2, 4
X-men 3, 4
X-men: First Class, 5
X-men Days of Future Past, 5
X-men Apocalypse, 2
Twilight, 2
Twilight 2, 2
Twilight 3 pt1, 2
Twilight 3 pt2, 2
Transformers, 4
Transformers: Revenge of the Fallen, 4
Transformers: Dark of the Moon, 3
Transformers: Age of Extinction, 1
Pirates of the Caribbean: The Curse of the Black Pearl, 4
Pirates of the Caribbean: Dead Man's Chest, 5
Pirates of the Caribbean: At Worlds End, 4
The Hunger Games, 4
The Hunger Games: Catching Fire, 3
The Hunger Games: Mockingjay - part 1, 2
The Hunger Games: Mockingjay - part 2, 2
Men in Black, 5
Men in Black 2, 4
Men in Black 3, 4
Shrek, 4
Shrek 2, 5
Shrek 3, 4
Shrek 4, 3
Deadpool, 5
Deadpool 2, 5
Despicable Me, 5
Despicable Me 2, 4
Minion Movie, 4
Ant-Man, 5
Ant-Man and the Wasp, 4
Hulk, 2
The Incredible Hulk, 4
Captain Marvel, 2
Interstellar, 5
Joker, 5
Gladiator, 5
Back to the Future, 5
Back to the Future 2, 5
Back to the Future 3, 5
Dunkirk, 3
American Beauty, 3
Inside Out, 4
The Mummy, 4
The Mummy Returns, 5
The Mummy: Tomb of the Dragon Emperor, 2
The Scorpion King, 4
Welcome to the Jungle, 4
Without a Paddle, 4
Gone Girl, 5
A Simple Favour, 5
The Fighter, 4
The Truman Show, 4
Rocky, 4
Rambo: First Blood, 5
Rambo: First Blood part 2, 4
Rambo 3, 4
Mr and Mrs Smith, 5
The Martian, 5
The Imitation Game, 5
The Iron Giant, 5
Deep Blue Sea, 4
47 Meters Down, 3
Dawn of the Planet of the Apes, 4
Rise of the Planet of the Apes, 5
War for the Planet of the Apes, 5
Desperado, 4
Once Upon a time in Mexico, 4
Taken, 5
Taken 2, 3
Taken 3, 3
Avatar, 4
Fantastic 4 (2005), 4
Fantastic 4: Rise of the Silver Surfer, 4
Fantastic Four (2015), 2
Requiem for a Dream, 3
TMNT, 4
Frozen, 4
Frozen 2, 4
Seven, 5
Zodiac, 4
Bad Boys, 5
Bad Boys 2, 4
Bad Boys 3, 4
Unbreakable, 4
Split, 4
Knight and Day, 4
The Report, 5
Contact, 4
Get Out, 4
Dirty Grandpa, 4
The Irishman, 1
The Godfather, 1
Mulan, 3
The Ring, 4
The Ring 2, 3
Happy Feet, 2
Chalet Girl, 2
Agent Cody Banks, 3
Spy Kids, 4
Spy Kids 2, 4
Spy Kids 3D, 4
Mission without Permission, 4
Stuart Little, 3
Stuart Little 2, 2
Total Recall (1990), 4
The Gambler, 3
James Bond: The World is not Enough, 4
James Bond: Die Another Day, 5
James Bond: Casino Royale, 4
James Bond: Quantum of Solace, 3
James Bond: Skyfall, 4
James Bond: Spectre, 4
Titanic, 3
Eraser, 4
Twins, 4
Predator, 5
Jingle all the way, 5
Daddy's Home, 5
The Other Guys, 3
Shooter, 5
Four Brothers, 5
Ted, 4
Instant Family, 4
Gravity, 2
Captain Fantastic, 4
World War Z, 4
Forrest Gump, 3
Logan Lucky, 5
Rock'n'rolla, 5
Layer Cake, 5
El Camino, 4
The A-Team (2010), 4
Project X, 4
Shaun of the Dead, 4
Hot Fuzz, 4
Paul, 4
Jonny English, 5
Jonny English Reborn, 4
King Kong (2005), 2
Prometheus, 3
"I, Robot", 4
This is the End, 5
American Pie, 4
American Pie 2, 4
American Pie Presents: Band Camp, 3
American Pie Presents: The Naked Mile, 3
American Pie Presents: Beta House, 3
Saw, 3
The Mask, 3
War of the Worlds, 3
There's something about Mary, 4
Dodgeball, 5
Chicken Run, 4
Mr Bean's holiday, 3
Wallace and Gromit: Curse of the Ware Rabbit, 3
A Bugs Life, 4
The Grinch, 2
Easy A, 2
Bridget Jones Diary, 3
Bridget Jones Diary 2, 2
Catch me if you can, 5
The Lego Movie, 4
We are the Millers, 5
Dumb and Dumber, 2
The Interview, 4
Focus, 3
Meet the Parents, 4
Meet the Fockers, 4
American Sniper, 4
Star Trek (2009), 5
Star Trek into Darkness, 5
The Bourne Identity, 5
The Bourne Supremacy, 5
The Bourne Ultimatum, 5
Angels and Demons, 2
Inferno, 2
Edge of Tomorrow, 4
San Andreas, 2
2012, 2
Sinister, 4
Law Abiding Citizen, 5
Pacific Rim, 4
Looper, 4
Unfriended, 2
Apollo 13, 4
Friends with Benefits, 3
No Strings Attached, 3
Shes the Man, 2
Sausage Party, 4
10 Cloverfield Lane, 4
Cabin in the Woods, 4
Wanted, 4
The Girl on the Train, 4
Dude Wheres my Car?, 5
Big, 4
Lawless, 4
Venom, 4
Cast Away, 4
Saving Private Ryan, 4
Game Night, 4
Zack and Miri Make a Porno, 4
The Night Before Christmas, 4
Sex Tape, 4
The Butterfly Effect, 4
War Dogs, 5
Inside Man, 5
The Bank Job, 4
Romeo and Julliet (1996), 3
Mission: Impossible, 4
Mission: Impossible 2, 3
Mission: Impossible 3, 3
Mission: Impossible - Fallout, 4
District 13, 4
Elysium, 3
Chappie, 3
Limitless, 5
The Meg, 3
"Crazy, Stupid, Love", 4
Gran Torino, 3
21, 4
Evolution (2001), 3
Life, 4
Hunter Killer, 4
Two Night Stand, 4
Angel of Mine, 4
Now You See Me, 3
The Dukes of Hazzard, 4
Knowing, 2
Swordfish, 4
Hot Rod, 4
The Watch, 4
That Awkward Moment, 4
Murder Mystery, 3
The Equalizer, 4
Godzilla (1998), 4
Godzilla (2014), 4
10 Things I Hate About You, 4
The Perfect Date, 3
Solider (1998), 2
Battle Royal, 4
Annabelle, 3
Charlie and the Chocolate Factory, 2
Forgetting Sarah Marshall, 4
Bad Teacher, 2
Knocked up, 3
Collateral (2004), 3
Oblivion, 3
Shanghai Noon, 5
Shanghai Knights, 5
Kung Fu Panda, 4
The Karate Kid (1984), 4
The Karate Kid Part 2, 4
The Karate Kid (2010), 4
Madagascar, 4
Alvin and the Chipmunks, 2
G-Force, 2
John Wick, 4
John Wick: Chapter 2, 2
Secret Life of Pets, 4
My Girl, 4
Crank, 4
Crank 2: High Voltage, 3
Death Race, 4
Hitch, 4
Hummingbird (Redemption), 2
Van Wilder, 4
EuroTrip, 5
The Hangover, 5
The Hangover 2, 4
The Hangover 3, 4
Greece, 2
Casper, 4
Charlies Angels (2000), 3
Cheaper by the Dozen, 4
Cheaper by the Dozen 2, 4
Edward Scissorhands, 2
Argo, 5
Armageddon, 4
Miss Congeniality, 4
Police Academy, 4
How to Lose a guy in 10 day, 2
Oceans 8, 4
Prince of Egypt, 4
Pink Panther (2006), 5
Tangled, 3
Space Jam, 4
The Bounty Hunter, 2
This Means War, 4
Identity Theft, 4
Pitch Perfect, 3
Pitch Perfect 2, 2
Grown Ups, 5
Grown Ups 2, 5
The Hustle, 2
Death at a Funeral, 3
Blue Streak, 5
Big Momma's House, 5
Big Momma's House 2, 4
Wild Hogs, 4
Are we there yet?, 4
XXX, 4
XXX: State of Union, 2
Lets Be Cops, 3
Failure to Launch, 4
The House, 5
Get Hard, 4
Hustlers, 4
Enough, 3
Buzz Lightyear Star Command, 4
Sucker Punch, 2
The Tourist, 2
Tomb Raider, 4
Tomb Raider 2, 3
Gone in 60 seconds, 3
Next, 2
National Treasure, 4
National Treasure: Book of Secrets, 3
Source Code, 5
Fools Gold, 4
6 Underground, 4
Den of Thieves, 4
Takers, 4
Step Brothers, 5
The Dictator, 4
Going in Style, 2
Triple Frontier, 4
Due Date, 3
Talladega Nights, 2
The Next Three Days, 4
All the Money in the World, 4
The Impossible, 3
Training Day, 4
Lost Girls, 4
The Hunt, 4
Spiderman: Far From Home, 5
Prisoners, 5
Unfinished Business, 3
Incredibles 2, 5
Love Wedding Repeat, 4
Killers, 2
Contagion, 3
Code8, 3
